John	M	47499	1935
William	M	40198	1935
Richard	M	33945	1935
Charles	M	29983	1935
Donald	M	29661	1935
George	M	18559	1935
Thomas	M	17680	1935
Joseph	M	17183	1935
Mary	F	54372	1936
Shirley	F	35161	1936
Barbara	F	31682	1936
Betty	F	25866	1936
Patricia	F	23914	1936
Dorothy	F	17669	1936
Joan	F	17069	1936
Nancy	F	16756	1936
Margaret	F	14594	1936
Carol	F	14521	1936
Robert	M	58492	1936
James	M	54686	1936
John	M	47669	1936
William	M	39386	1936
Richard	M	33487	1936
Charles	M	29084	1936
Donald	M	28635	1936
Thomas	M	18339	1936
George	M	18195	1936
David	M	17479	1936
Mary	F	55645	1937
Barbara	F	34912	1937
Patricia	F	26839	1937
Shirley	F	26816	1937
Betty	F	25332	1937
Carol	F	17336	1937
Nancy	F	17069	1937
Dorothy	F	16572	1937
Joan	F	15299	1937
Margaret	F	15143	1937
Robert	M	61835	1937
James	M	56551	1937
John	M	48746	1937
William	M	40713	1937
Richard	M	32973	1937
Charles	M	30524	1937
Donald	M	27868	1937
David	M	20974	1937
Thomas	M	19775	1937
George	M	18430	1937
Mary	F	56215	1938
Barbara	F	39279	1938
Patricia	F	27556	1938
Betty	F	25504	1938
Shirley	F	23767	1938
Carol	F	19424	1938
Nancy	F	18948	1938
Dorothy	F	16348	1938
Margaret	F	15330	1938
Joan	F	14302	1938
Robert	M	62268	1938
James	M	59099	1938
John	M	50519	1938
William	M	42422	1938
Richard	M	34380	1938
Charles	M	31138	1938
Donald	M	26665	1938
David	M	22992	1938
Thomas	M	21376	1938
Ronald	M	20296	1938
Mary	F	54901	1939
Barbara	F	37258	1939
Patricia	F	29706	1939
Betty	F	23641	1939
Shirley	F	20445	1939
Carol	F	20166	1939
Nancy	F	19726	1939
Judith	F	16626	1939
Dorothy	F	15171	1939
Margaret	F	14952	1939
Robert	M	59645	1939
James	M	59627	1939
John	M	51015	1939
William	M	42077	1939
Richard	M	35373	1939
Charles	M	30787	1939
David	M	25362	1939
Donald	M	24056	1939
Thomas	M	22128	1939
Ronald	M	19835	1939
Mary	F	56203	1940
Barbara	F	36734	1940
Patricia	F	32664	1940
Judith	F	22382	1940
Betty	F	22074	1940
Carol	F	21761	1940
Nancy	F	19732	1940
Linda	F	18369	1940
Shirley	F	17878	1940
Sandra	F	16150	1940
James	M	62473	1940
Robert	M	61196	1940
John	M	54779	1940
William	M	44768	1940
Richard	M	37415	1940
Charles	M	31684	1940
David	M	27687	1940
Thomas	M	23987	1940
Donald	M	23106	1940
Ronald	M	20730	1940
Mary	F	58040	1941
Barbara	F	39538	1941
Patricia	F	36901	1941
Carol	F	24181	1941
Linda	F	23721	1941
Judith	F	23316	1941
Betty	F	20905	1941
Nancy	F	20881	1941
Sandra	F	19498	1941
Shirley	F	16953	1941
James	M	66736	1941
Robert	M	64233	1941
John	M	57515	1941
William	M	47789	1941
Richard	M	39106	1941
Charles	M	32732	1941
David	M	30551	1941
Thomas	M	26643	1941
Ronald	M	24399	1941
Donald	M	22633	1941
Mary	F	63254	1942
Barbara	F	44734	1942
Patricia	F	39456	1942
Linda	F	31611	1942
Carol	F	30273	1942
Sandra	F	24993	1942
Judith	F	24792	1942
Nancy	F	23325	1942
Betty	F	21653	1942
Carolyn	F	19979	1942
James	M	77176	1942
Robert	M	71838	1942
John	M	66027	1942
William	M	54884	1942
Richard	M	43585	1942
David	M	35894	1942
Charles	M	35843	1942
Thomas	M	31098	1942
Ronald	M	27134	1942
Donald	M	23951	1942
Mary	F	66169	1943
Barbara	F	43429	1943
Patricia	F	39625	1943
Linda	F	38439	1943
Carol	F	31682	1943
