Charles	M	29244	1921
George	M	27476	1921
Joseph	M	26179	1921
Edward	M	20818	1921
Frank	M	16708	1921
Richard	M	16376	1921
Mary	F	72173	1922
Dorothy	F	37716	1922
Helen	F	32508	1922
Margaret	F	26865	1922
Ruth	F	23630	1922
Betty	F	20895	1922
Virginia	F	19146	1922
Mildred	F	16412	1922
Elizabeth	F	15242	1922
Frances	F	15053	1922
John	M	57277	1922
Robert	M	53793	1922
William	M	51116	1922
James	M	49801	1922
Charles	M	28842	1922
George	M	27351	1922
Joseph	M	25699	1922
Edward	M	20419	1922
Richard	M	17539	1922
Frank	M	16014	1922
Mary	F	71638	1923
Dorothy	F	39044	1923
Helen	F	31488	1923
Margaret	F	26133	1923
Betty	F	25991	1923
Ruth	F	23638	1923
Virginia	F	18326	1923
Mildred	F	15990	1923
Elizabeth	F	15461	1923
Frances	F	14879	1923
John	M	57470	1923
Robert	M	56117	1923
William	M	52136	1923
James	M	50463	1923
Charles	M	28962	1923
George	M	27021	1923
Joseph	M	25561	1923
Edward	M	20597	1923
Richard	M	18884	1923
Donald	M	16435	1923
Mary	F	73534	1924
Dorothy	F	39999	1924
Helen	F	31192	1924
Betty	F	30599	1924
Margaret	F	26549	1924
Ruth	F	23600	1924
Virginia	F	18622	1924
Mildred	F	15853	1924
Doris	F	15785	1924
Frances	F	15183	1924
Robert	M	60801	1924
John	M	59055	1924
William	M	53511	1924
James	M	52939	1924
Charles	M	30461	1924
George	M	27375	1924
Joseph	M	25428	1924
Richard	M	21246	1924
Edward	M	21128	1924
Donald	M	17929	1924
Mary	F	70591	1925
Dorothy	F	38570	1925
Betty	F	32813	1925
Helen	F	29172	1925
Margaret	F	24463	1925
Ruth	F	22248	1925
Virginia	F	17489	1925
Doris	F	16074	1925
Mildred	F	14451	1925
Elizabeth	F	13935	1925
Robert	M	60897	1925
John	M	57199	1925
William	M	53304	1925
James	M	52682	1925
Charles	M	29582	1925
George	M	26566	1925
Joseph	M	24613	1925
Richard	M	23268	1925
Edward	M	20089	1925
Donald	M	19191	1925
Mary	F	67832	1926
Dorothy	F	36617	1926
Betty	F	32964	1926
Helen	F	26884	1926
Margaret	F	23070	1926
Ruth	F	20223	1926
Doris	F	16298	1926
Virginia	F	16162	1926
Mildred	F	13551	1926
Frances	F	13355	1926
Robert	M	61130	1926
John	M	56110	1926
James	M	53209	1926
William	M	51920	1926
Charles	M	29521	1926
George	M	25904	1926
Richard	M	25149	1926
Joseph	M	23759	1926
Donald	M	20912	1926
Edward	M	19378	1926
Mary	F	70639	1927
Dorothy	F	35987	1927
Betty	F	35422	1927
Helen	F	25320	1927
Margaret	F	21964	1927
Ruth	F	19414	1927
Doris	F	16510	1927
Virginia	F	15725	1927
Shirley	F	13315	1927
Barbara	F	13161	1927
Robert	M	61669	1927
John	M	55954	1927
James	M	53674	1927
William	M	51482	1927
Charles	M	31936	1927
Richard	M	26771	1927
George	M	25949	1927
Donald	M	23840	1927
Joseph	M	23506	1927
Edward	M	19113	1927
Mary	F	66872	1928
Betty	F	36080	1928
Dorothy	F	33731	1928
Helen	F	22934	1928
Margaret	F	20295	1928
Ruth	F	17858	1928
Doris	F	16572	1928
Barbara	F	14873	1928
Virginia	F	14501	1928
Shirley	F	14212	1928
Robert	M	60699	1928
John	M	53755	1928
James	M	52754	1928
William	M	49117	1928
Charles	M	31247	1928
Richard	M	28794	1928
Donald	M	25698	1928
George	M	24400	1928
Joseph	M	22311	1928
Edward	M	18489	1928
Mary	F	63508	1929
Betty	F	36675	1929
Dorothy	F	31477	1929
Helen	F	20985	1929
Margaret	F	19206	1929
Doris	F	16496	1929
Barbara	F	16037	1929
Ruth	F	16019	1929
Shirley	F	14579	1929
Patricia	F	13625	1929
Robert	M	59798	1929
James	M	52127	1929
John	M	52113	1929
William	M	47805	1929
Charles	M	29931	1929
Richard	M	29569	1929
Donald	M	27186	1929
George	M	23017	1929
Joseph	M	21162	1929
Edward	M	17226	1929
Mary	F	64146	1930
Betty	F	38234	1930
Dorothy	F	30409	1930
Helen	F	19914	1930
Margaret	F	18354	1930
Barbara	F	18281	1930
Patricia	F	15751	1930
Joan	F	15479	1930
Doris	F	15464	1930
Ruth	F	14940	1930
Robert	M	62149	1930
James	M	53941	1930
John	M	52434	1930
William	M	47265	1930
Richard	M	32183	1930
Charles	M	31871	1930
Donald	M	29048	1930
George	M	22784	1930
Joseph	M	20981	1930
Edward	M	17349	1930
Mary	F	60296	1931
Betty	F	36105	1931
Dorothy	F	26524	1931
Barbara	F	21797	1931
Joan	F	19117	1931
Helen	F	17661	1931
Margaret	F	17333	1931
Patricia	F	16468	1931
Shirley	F	14405	1931
Doris	F	13629	1931
Robert	M	60508	1931
James	M	51219	1931
John	M	48423	1931
William	M	43276	1931
Richard	M	31816	1931
Charles	M	29924	1931
Donald	M	29102	1931
George	M	20687	1931
Joseph	M	19330	1931
Thomas	M	16846	1931
Mary	F	59874	1932
Betty	F	34417	1932
Barbara	F	26314	1932
Dorothy	F	24974	1932
Joan	F	21045	1932
Patricia	F	17989	1932
Margaret	F	16549	1932
Helen	F	16376	1932
Shirley	F	14476	1932
Doris	F	12909	1932
Robert	M	59266	1932
James	M	51922	1932
John	M	48617	1932
William	M	42117	1932
Richard	M	31798	1932
Charles	M	31095	1932
Donald	M	29786	1932
George	M	20436	1932
Joseph	M	18563	1932
Thomas	M	16834	1932
Mary	F	55509	1933
Betty	F	31526	1933
Barbara	F	26951	1933
Dorothy	F	22047	1933
Joan	F	19290	1933
Patricia	F	18631	1933
Margaret	F	15239	1933
Helen	F	14643	1933
Shirley	F	14315	1933
Doris	F	12024	1933
Robert	M	54218	1933
James	M	51102	1933
John	M	46222	1933
William	M	39049	1933
Richard	M	31337	1933
Charles	M	28988	1933
Donald	M	28437	1933
George	M	18358	1933
Joseph	M	17162	1933
Thomas	M	16500	1933
Mary	F	56929	1934
Betty	F	31085	1934
Barbara	F	29234	1934
Shirley	F	22840	1934
Dorothy	F	21283	1934
Patricia	F	20845	1934
Joan	F	19464	1934
Margaret	F	15144	1934
Helen	F	14100	1934
Nancy	F	13518	1934
Robert	M	55829	1934
James	M	54249	1934
John	M	46734	1934
William	M	40170	1934
Richard	M	33157	1934
Donald	M	30409	1934
Charles	M	29792	1934
George	M	18497	1934
Thomas	M	17369	1934
Joseph	M	17101	1934
Mary	F	55069	1935
Shirley	F	42358	1935
Barbara	F	30696	1935
Betty	F	28673	1935
Patricia	F	22877	1935
Dorothy	F	19404	1935
Joan	F	18223	1935
Margaret	F	14725	1935
Nancy	F	14544	1935
Helen	F	12781	1935
Robert	M	56524	1935
James	M	55000	1935
